,state,year,all_occ_h_median,drivers_h_median,rec_legal,med_legal
0,Alabama,2001,11.02,12.01,False,False
1,Alaska,2001,16.12,16.3,False,True
2,Arizona,2001,12.33,12.84,False,False
3,Arkansas,2001,10.47,12.28,False,False
4,California,2001,14.31,14.01,False,True
5,Colorado,2001,14.08,13.63,False,True
6,Connecticut,2001,15.92,13.95,False,False
7,Delaware,2001,13.85,13.18,False,False
8,District of Columbia,2001,19.94,11.9,False,False
9,Florida,2001,11.58,11.69,False,False
10,Georgia,2001,12.4,13.04,False,False
11,Hawaii,2001,13.18,12.46,False,True
12,Idaho,2001,11.88,12.53,False,False
13,Illinois,2001,13.48,15.37,False,False
14,Indiana,2001,12.32,14.54,False,False
15,Iowa,2001,11.68,13.15,False,False
16,Kansas,2001,12.1,13.0,False,False
17,Kentucky,2001,11.67,12.11,False,False
18,Louisiana,2001,11.07,10.94,False,False
19,Maine,2001,11.93,12.06,False,True
20,Maryland,2001,14.3,13.46,False,False
21,Massachusetts,2001,15.48,14.7,False,False
22,Michigan,2001,14.03,14.06,False,False
23,Minnesota,2001,14.04,14.5,False,False
24,Mississippi,2001,10.34,11.49,False,False
25,Missouri,2001,12.2,14.09,False,False
26,Montana,2001,10.74,12.19,False,False
27,Nebraska,2001,11.53,13.84,False,False
28,Nevada,2001,12.41,13.33,False,True
29,New Hampshire,2001,12.83,12.67,False,False
30,New Jersey,2001,15.16,14.68,False,False
31,New Mexico,2001,11.31,11.33,False,False
32,New York,2001,14.87,14.49,False,False
33,North Carolina,2001,12.06,13.1,False,False
34,North Dakota,2001,10.85,12.64,False,False
35,Ohio,2001,12.98,14.0,False,False
36,Oklahoma,2001,10.94,11.18,False,False
37,Oregon,2001,13.46,13.95,False,True
38,Pennsylvania,2001,12.94,13.51,False,False
39,Rhode Island,2001,13.4,13.27,False,False
40,South Carolina,2001,11.48,12.78,False,False
41,South Dakota,2001,10.7,12.39,False,False
42,Tennessee,2001,11.66,14.3,False,False
43,Texas,2001,12.07,12.11,False,False
44,Utah,2001,12.03,14.32,False,False
45,Vermont,2001,12.54,11.88,False,False
46,Virginia,2001,13.07,11.43,False,False
47,Washington,2001,15.12,15.12,False,True
48,West Virginia,2001,10.71,10.75,False,False
49,Wisconsin,2001,12.77,13.93,False,False
50,Wyoming,2001,11.75,12.39,False,False
51,Alabama,2002,11.37,12.16,False,False
52,Alaska,2002,16.44,16.39,False,True
53,Arizona,2002,12.58,13.2,False,False
54,Arkansas,2002,10.84,12.48,False,False
55,California,2002,14.68,14.45,False,True
56,Colorado,2002,14.46,14.14,False,True
57,Connecticut,2002,16.21,14.33,False,False
58,Delaware,2002,14.01,13.42,False,False
59,District of Columbia,2002,20.49,14.0,False,False
60,Florida,2002,11.8,12.02,False,False
61,Georgia,2002,12.68,12.98,False,False
62,Hawaii,2002,13.67,13.07,False,True
63,Idaho,2002,12.03,12.49,False,False
64,Illinois,2002,13.71,15.52,False,False
65,Indiana,2002,12.69,14.62,False,False
66,Iowa,2002,11.98,13.6,False,False
67,Kansas,2002,12.38,12.57,False,False
68,Kentucky,2002,11.93,12.38,False,False
69,Louisiana,2002,11.39,11.07,False,False
70,Maine,2002,12.33,12.21,False,True
71,Maryland,2002,14.78,13.86,False,False
72,Massachusetts,2002,15.94,14.9,False,False
73,Michigan,2002,14.23,14.55,False,False
74,Minnesota,2002,14.5,15.15,False,False
